GIC Current (amps),,
Time (MDT = GMT-6),89S_T1,89S_T2
2021-10-11 19:30,-3.797673,-3.413750
2021-10-11 19:30,-3.796884,-2.801875
2021-10-11 19:30,-3.796095,-2.925625
2021-10-11 19:30,-3.795306,-3.049375
2021-10-11 19:30,-3.794517,-3.173125
2021-10-11 19:30,-3.793728,-3.296875
2021-10-11 19:30,-3.792939,-3.420625
2021-10-11 19:30,-3.792150,-3.544375
2021-10-11 19:30,-3.791361,-3.668125
2021-10-11 19:30,-3.790572,-3.361667
2021-10-11 19:30,-3.789783,-2.625000
2021-10-11 19:30,-3.788994,-1.888333
2021-10-11 19:30,-3.788205,-2.183333
2021-10-11 19:30,-3.787416,-3.510000
2021-10-11 19:31,-3.786627,-4.836667
2021-10-11 19:31,-3.785838,-3.855000
2021-10-11 19:31,-3.785049,-2.641250
2021-10-11 19:31,-3.784261,-3.503750
2021-10-11 19:31,-3.783472,-4.366250
2021-10-11 19:31,-3.782683,-5.228750
2021-10-11 19:31,-3.781893,-5.712501
2021-10-11 19:31,-3.781105,-5.817500
2021-10-11 19:31,-3.780316,-4.230000
2021-10-11 19:31,-3.779527,-2.800000
2021-10-11 19:31,-3.778738,-3.220000
2021-10-11 19:31,-3.777949,-3.640000
2021-10-11 19:31,-3.777160,-4.060000
2021-10-11 19:31,-3.776371,-4.248750
2021-10-11 19:31,-3.775582,-4.206250
2021-10-11 19:31,-3.774793,-4.163750
2021-10-11 19:31,-3.774004,-4.121250
2021-10-11 19:31,-3.773215,-4.317500
2021-10-11 19:31,-3.772426,-4.752501
2021-10-11 19:31,-3.771637,-4.778750
2021-10-11 19:31,-3.770848,-4.396250
2021-10-11 19:31,-3.770059,-4.013750
2021-10-11 19:31,-3.769270,-3.631250
2021-10-11 19:31,-3.768481,-5.030000
2021-10-11 19:31,-3.767692,-4.810000
2021-10-11 19:31,-3.766903,-3.221250
2021-10-11 19:31,-3.766114,-3.663750
2021-10-11 19:31,-3.765326,-4.106250
2021-10-11 19:31,-3.764537,-4.548750
2021-10-11 19:31,-3.763748,-3.285000
2021-10-11 19:32,-3.762959,-1.840000
2021-10-11 19:32,-3.762170,-1.920000
2021-10-11 19:32,-3.761381,-3.695000
2021-10-11 19:32,-3.760592,-3.805000
2021-10-11 19:32,-3.759803,-2.753750
2021-10-11 19:32,-3.759014,-3.901250
2021-10-11 19:32,-3.758225,-5.048750
2021-10-11 19:32,-3.757436,-6.196250
2021-10-11 19:32,-3.756647,-5.908334
2021-10-11 19:32,-3.755858,-4.185000
2021-10-11 19:32,-3.755069,-2.461667
2021-10-11 19:32,-3.754280,-3.020000
2021-10-11 19:32,-3.753491,-4.418750
2021-10-11 19:32,-3.752702,-4.376250
2021-10-11 19:32,-3.751913,-4.333750
2021-10-11 19:32,-3.751124,-4.291250
2021-10-11 19:32,-3.750335,-4.248750
2021-10-11 19:32,-3.749547,-4.206250
2021-10-11 19:32,-3.748758,-4.163750
2021-10-11 19:32,-3.747968,-4.121250
2021-10-11 19:32,-3.747180,-4.245000
2021-10-11 19:32,-3.746391,-4.535000
2021-10-11 19:32,-3.745602,-3.550000
2021-10-11 19:32,-3.744813,-4.885000
2021-10-11 19:32,-3.744024,-5.972500
2021-10-11 19:32,-3.743235,-3.217500
2021-10-11 19:32,-3.742446,-3.880000
2021-10-11 19:32,-3.741657,-5.862187
2021-10-11 19:32,-3.740868,-5.746562
2021-10-11 19:32,-3.740079,-5.630938
2021-10-11 19:33,-3.739290,-5.515313
2021-10-11 19:33,-3.738501,-5.399688
2021-10-11 19:33,-3.737712,-5.284062
2021-10-11 19:33,-3.736923,-5.168437
2021-10-11 19:33,-3.736134,-5.052813
2021-10-11 19:33,-3.735345,-4.937188
2021-10-11 19:33,-3.734556,-4.821563
2021-10-11 19:33,-3.733767,-4.705938
2021-10-11 19:33,-3.732978,-4.590312
2021-10-11 19:33,-3.732189,-4.474688
2021-10-11 19:33,-3.731400,-4.359063
2021-10-11 19:33,-3.730612,-4.243438
2021-10-11 19:33,-3.729823,-4.127813
2021-10-11 19:33,-3.729034,-5.420000
2021-10-11 19:33,-3.728245,-5.090000
2021-10-11 19:33,-3.727456,-3.842500
2021-10-11 19:33,-3.726667,-4.707500
2021-10-11 19:33,-3.725878,-3.185000
2021-10-11 19:33,-3.725089,-1.837500
2021-10-11 19:33,-3.724300,-3.052500
2021-10-11 19:33,-3.723511,-3.662143
2021-10-11 19:33,-3.722722,-3.666429
2021-10-11 19:33,-3.721933,-3.670714
2021-10-11 19:33,-3.721144,-3.675000
2021-10-11 19:33,-3.720355,-3.679286
2021-10-11 19:33,-3.719566,-3.683572
2021-10-11 19:33,-3.718777,-3.687857
2021-10-11 19:33,-3.717988,-4.970000
2021-10-11 19:33,-3.717199,-6.195001
2021-10-11 19:33,-3.716410,-6.085000
2021-10-11 19:34,-3.715621,-5.975000
2021-10-11 19:34,-3.714833,-4.295000
2021-10-11 19:34,-3.714043,-4.850000
2021-10-11 19:34,-3.713254,-5.565001
2021-10-11 19:34,-3.712466,-4.040000
2021-10-11 19:34,-3.711677,-3.920000
2021-10-11 19:34,-3.710888,-5.870000
2021-10-11 19:34,-3.710099,-6.075000
2021-10-11 19:34,-3.709310,-4.850000
2021-10-11 19:34,-3.708521,-4.625000
2021-10-11 19:34,-3.707732,-3.015000
2021-10-11 19:34,-3.706943,-2.840000
2021-10-11 19:34,-3.706154,-4.100000
2021-10-11 19:34,-3.705365,-5.360000
2021-10-11 19:34,-3.704576,-5.190000
2021-10-11 19:34,-3.703787,-3.590000
2021-10-11 19:34,-3.702998,-1.990000
2021-10-11 19:34,-3.702209,-1.913750
2021-10-11 19:34,-3.701420,-3.361250
2021-10-11 19:34,-3.700631,-4.808750
2021-10-11 19:34,-3.699842,-6.256250
2021-10-11 19:34,-3.699053,-6.774286
2021-10-11 19:34,-3.698264,-6.362858
2021-10-11 19:34,-3.697475,-5.951429
2021-10-11 19:34,-3.696687,-5.540000
2021-10-11 19:34,-3.695898,-5.128572
2021-10-11 19:34,-3.695109,-4.717143
2021-10-11 19:34,-3.694320,-4.305715
2021-10-11 19:34,-3.693531,-4.321667
2021-10-11 19:34,-3.692742,-4.765000
2021-10-11 19:35,-3.691953,-5.208333
2021-10-11 19:35,-3.691164,-3.805000
2021-10-11 19:35,-3.690375,-3.430000
2021-10-11 19:35,-3.689586,-3.320000
2021-10-11 19:35,-3.688797,-3.405000
2021-10-11 19:35,-3.688008,-4.720000
2021-10-11 19:35,-3.687219,-4.460000
2021-10-11 19:35,-3.686430,-4.200000
2021-10-11 19:35,-3.685641,-5.490000
2021-10-11 19:35,-3.684852,-6.260000
2021-10-11 19:35,-3.684063,-4.960000
2021-10-11 19:35,-3.683274,-4.985000
2021-10-11 19:35,-3.682485,-4.260000
2021-10-11 19:35,-3.681696,-3.090000
2021-10-11 19:35,-3.680907,-3.550000
2021-10-11 19:35,-3.680118,-2.725000
2021-10-11 19:35,-3.679329,-3.420000
2021-10-11 19:35,-3.678540,-5.199000
2021-10-11 19:35,-3.677752,-5.257000
2021-10-11 19:35,-3.676963,-5.315000
2021-10-11 19:35,-3.676174,-5.373000
2021-10-11 19:35,-3.675385,-5.431000
2021-10-11 19:35,-3.674596,-5.138333
2021-10-11 19:35,-3.673807,-4.495000
2021-10-11 19:35,-3.673018,-3.851667
2021-10-11 19:35,-3.672229,-3.208333
2021-10-11 19:35,-3.671440,-2.565000
2021-10-11 19:35,-3.670651,-1.921667
2021-10-11 19:35,-3.669862,-2.230000
2021-10-11 19:35,-3.669073,-3.490000
2021-10-11 19:36,-3.668284,-4.750000
2021-10-11 19:36,-3.667495,-5.177143
2021-10-11 19:36,-3.666706,-4.771429
2021-10-11 19:36,-3.665917,-4.365715
2021-10-11 19:36,-3.665128,-3.960000
2021-10-11 19:36,-3.664339,-3.554286
2021-10-11 19:36,-3.663550,-3.148571
2021-10-11 19:36,-3.662761,-2.742857
2021-10-11 19:36,-3.661973,-2.958333
2021-10-11 19:36,-3.661184,-3.795000
2021-10-11 19:36,-3.660395,-4.631667
2021-10-11 19:36,-3.660166,-4.965834
2021-10-11 19:36,-3.660497,-4.797500
2021-10-11 19:36,-3.660828,-4.629167
2021-10-11 19:36,-3.661160,-4.460834
2021-10-11 19:36,-3.661491,-4.292500
2021-10-11 19:36,-3.661822,-4.124167
2021-10-11 19:36,-3.662153,-3.955833
2021-10-11 19:36,-3.662484,-3.787500
2021-10-11 19:36,-3.662816,-3.619167
2021-10-11 19:36,-3.663147,-3.450834
2021-10-11 19:36,-3.663478,-3.282500
2021-10-11 19:36,-3.663810,-3.114167
2021-10-11 19:36,-3.664141,-3.121000
2021-10-11 19:36,-3.664472,-3.303000
2021-10-11 19:36,-3.664803,-3.485000
2021-10-11 19:36,-3.665134,-3.667000
2021-10-11 19:36,-3.665466,-3.849000
2021-10-11 19:36,-3.665797,-4.031000
2021-10-11 19:36,-3.666128,-4.213000
2021-10-11 19:37,-3.666460,-4.395000
2021-10-11 19:37,-3.666791,-4.577000
2021-10-11 19:37,-3.667122,-4.759000
2021-10-11 19:37,-3.667453,-4.560000
2021-10-11 19:37,-3.667784,-3.980000
2021-10-11 19:37,-3.668116,-4.132500
2021-10-11 19:37,-3.668447,-5.017500
2021-10-11 19:37,-3.668778,-3.630000
2021-10-11 19:37,-3.669109,-2.268750
2021-10-11 19:37,-3.669441,-3.206250
2021-10-11 19:37,-3.669772,-4.143750
2021-10-11 19:37,-3.670103,-5.081250
2021-10-11 19:37,-3.670434,-5.310000
2021-10-11 19:37,-3.670766,-4.830000
2021-10-11 19:37,-3.671097,-4.471923
2021-10-11 19:37,-3.671428,-4.235769
2021-10-11 19:37,-3.671759,-3.999615
2021-10-11 19:37,-3.672091,-3.763462
2021-10-11 19:37,-3.672422,-3.527308
2021-10-11 19:37,-3.672753,-3.291154
2021-10-11 19:37,-3.673084,-3.055000
2021-10-11 19:37,-3.673416,-2.818846
2021-10-11 19:37,-3.673747,-2.582692
2021-10-11 19:37,-3.674078,-2.346539
2021-10-11 19:37,-3.674409,-2.110385
2021-10-11 19:37,-3.674741,-1.874231
2021-10-11 19:37,-3.675072,-1.638077
